1,737308,20180906,26,1,18,2,-1,12
1,737311,20180909,3,1,47,4,-1,3
1,737311,20180909,27,-1,21,8,1,21
1,737311,20180909,7,-1,34,14,1,23
1,737311,20180909,20,1,27,31,-1,20
1,737311,20180909,21,1,24,28,-1,16
1,737311,20180909,22,1,27,13,-1,20
1,737311,20180909,30,-1,48,23,1,40
1,737311,20180909,15,-1,20,24,1,15
1,737311,20180909,16,-1,38,17,1,28
1,737311,20180909,32,-1,24,1,1,6
1,737311,20180909,5,1,16,9,-1,8
1,737311,20180909,10,1,27,29,-1,24
1,737311,20180909,12,1,24,6,-1,23
1,737312,20180910,25,-1,48,11,1,17
1,737312,20180910,18,-1,33,19,1,13
2,737315,20180913,7,1,34,3,-1,23
2,737318,20180916,2,1,31,5,-1,24
2,737318,20180916,17,-1,31,4,1,20
2,737318,20180916,21,-1,29,12,1,29
2,737318,20180916,23,1,21,8,-1,18
2,737318,20180916,20,-1,20,25,1,12
2,737318,20180916,16,-1,42,27,1,37
2,737318,20180916,30,1,27,26,-1,21
2,737318,20180916,31,1,20,13,-1,17
2,737318,20180916,14,-1,21,32,1,9
2,737318,20180916,18,1,34,1,-1,0
2,737318,20180916,28,1,30,11,-1,27
2,737318,20180916,10,1,20,19,-1,19
2,737318,20180916,15,1,31,22,-1,20
2,737318,20180916,9,1,20,24,-1,13
2,737319,20180917,6,1,24,29,-1,17
3,737322,20180920,8,1,21,25,-1,17
3,737325,20180923,23,-1,43,2,1,37
3,737325,20180923,3,1,27,10,-1,14
3,737325,20180923,5,1,31,7,-1,21
3,737325,20180923,24,-1,27,13,1,22
3,737325,20180923,31,-1,9,15,1,6
3,737325,20180923,16,1,38,28,-1,27
3,737325,20180923,20,1,28,19,-1,20
3,737325,20180923,4,-1,27,21,1,6
3,737325,20180923,26,1,20,14,-1,16
3,737325,20180923,32,1,31,12,-1,17
3,737325,20180923,18,1,35,17,-1,23
3,737325,20180923,6,-1,16,1,1,14
3,737325,20180923,29,1,24,9,-1,13
3,737325,20180923,11,1,26,22,-1,10
3,737326,20180924,27,-1,30,30,1,27
4,737329,20180927,18,1,38,21,-1,31
4,737332,20180930,7,-1,37,2,1,36
4,737332,20180930,6,1,48,30,-1,10
4,737332,20180930,9,1,26,11,-1,24
4,737332,20180930,12,1,22,4,-1,0
4,737332,20180930,13,-1,37,14,1,34
4,737332,20180930,15,1,31,25,-1,12
4,737332,20180930,22,1,38,20,-1,7
4,737332,20180930,31,1,26,26,-1,23
4,737332,20180930,29,-1,20,1,1,17
4,737332,20180930,19,1,45,8,-1,42
4,737332,20180930,17,1,29,28,-1,27
4,737332,20180930,23,-1,33,24,1,18
4,737332,20180930,3,-1,26,27,1,14
4,737333,20181001,16,-1,27,10,1,23
5,737336,20181004,22,1,38,14,-1,24
5,737339,20181007,4,1,13,31,-1,12
5,737339,20181007,5,1,33,24,-1,31
5,737339,20181007,7,1,27,20,-1,17
5,737339,20181007,8,1,12,3,-1,9
5,737339,20181007,11,1,31,12,-1,23
5,737339,20181007,16,1,30,15,-1,14
5,737339,20181007,25,1,34,10,-1,16
5,737339,20181007,27,1,41,2,-1,17
5,737339,20181007,17,1,26,19,-1,10
5,737339,20181007,21,-1,23,26,1,21
5,737339,20181007,1,-1,28,28,1,18
5,737339,20181007,18,-1,33,29,1,31
5,737339,20181007,13,1,19,9,-1,16
5,737340,20181008,23,1,43,32,-1,19
6,737343,20181011,26,-1,34,24,1,13
6,737346,20181014,2,1,34,30,-1,29
6,737346,20181014,27,-1,28,7,1,21
6,737346,20181014,17,-1,38,8,1,14
6,737346,20181014,13,1,20,4,-1,13
6,737346,20181014,20,1,31,6,-1,28
6,737346,20181014,21,1,27,1,-1,17
6,737346,20181014,25,1,42,14,-1,34
6,737346,20181014,29,0,27,19,0,3
6,737346,20181014,32,1,23,5,-1,17
6,737346,20181014,18,-1,23,10,1,20
6,737346,20181014,9,1,40,15,-1,7
6,737346,20181014,3,-1,21,31,1,0
6,737346,20181014,22,1,43,16,-1,40
6,737347,20181015,12,1,33,28,-1,30
7,737350,20181018,10,-1,45,1,1,10
7,737353,20181021,17,0,20,31,0,19
7,737353,20181021,22,-1,38,6,1,31
7,737353,20181021,14,1,37,4,-1,5
7,737353,20181021,13,-1,20,15,1,7
7,737353,20181021,16,1,45,7,-1,10
7,737353,20181021,11,-1,32,20,1,21
7,737353,20181021,21,-1,37,25,1,17
7,737353,20181021,5,-1,21,26,1,17
7,737353,20181021,30,1,26,8,-1,23
7,737353,20181021,23,-1,24,3,1,23
7,737353,20181021,32,1,20,9,-1,17
7,737353,20181021,18,-1,39,28,1,10
